id,covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
895,1,1,Female,4,4,White,2,Tennessee,East South Central,South
896,0,1,Female,3,2,Black,2,Kentucky,East South Central,South
897,1,1,Female,4,4,White,2,South Carolina,South Atlantic,South
898,1,0,Female,2,5,Other,1,Colorado,Mountain,West
899,1,1,Male,5,4,White,2,Illinois,East North Central,Midwest
900,1,1,Female,4,3,White,2,Colorado,Mountain,West
901,0,1,Female,4,2,White,1,Texas,West South Central,South
902,1,0,Male,3,2,Black,1,Tennessee,East South Central,South
903,1,1,Male,4,3,White,2,California,Pacific,West
904,1,1,Female,4,5,White,2,Nevada,Mountain,West
905,1,1,Female,4,5,White,2,Texas,West South Central,South
906,1,1,Female,4,4,White,2,South Dakota,West North Central,Midwest
907,1,1,Female,5,3,White,2,Michigan,East North Central,Midwest
908,1,1,Female,4,4,Black,2,Pennsylvania,Mid-Atlantic,Northeast
909,1,1,Male,4,3,White,2,Texas,West South Central,South
910,0,1,Female,4,1,Asian,2,Tennessee,East South Central,South
911,1,1,Male,4,5,White,3,California,Pacific,West
912,1,1,Female,4,4,White,4,Minnesota,West North Central,Midwest
913,1,1,Male,3,2,Black,2,Illinois,East North Central,Midwest
914,1,0,Male,4,2,White,1,Texas,West South Central,South
915,1,1,Female,4,5,White,3,California,Pacific,West
916,1,1,Female,4,4,White,2,Kansas,West North Central,Midwest
917,1,1,Female,4,3,White,2,Kentucky,East South Central,South
918,1,1,Male,5,5,White,2,Texas,West South Central,South
919,1,1,Female,4,4,White,3,Maryland,South Atlantic,South
920,1,1,Female,4,2,White,3,Florida,South Atlantic,South
921,1,1,Male,5,5,Asian,3,Missouri,West North Central,Midwest
922,1,1,Female,4,1,White,3,California,Pacific,West
923,1,1,Female,3,3,White,2,Mississippi,East South Central,South
924,1,1,Female,5,3,White,2,West Virginia,South Atlantic,South
925,1,1,Female,4,4,White,3,Illinois,East North Central,Midwest
926,1,1,Male,2,3,White,2,Mississippi,East South Central,South
927,1,1,Male,5,3,White,1,Ohio,East North Central,Midwest
928,1,0,Female,4,1,Hispanic,2,Tennessee,East South Central,South
929,1,1,Male,5,2,White,2,Minnesota,West North Central,Midwest
930,1,1,Female,5,3,White,2,California,Pacific,West
931,1,1,Female,4,3,White,2,Iowa,West North Central,Midwest
932,1,1,Male,5,3,White,2,Tennessee,East South Central,South
933,1,0,Male,4,1,White,1,Vermont,New England,Northeast
934,1,1,Female,4,2,White,2,South Carolina,South Atlantic,South
935,1,1,Male,2,1,Black,2,Washington,Pacific,West
936,1,1,Female,4,4,White,2,NA,NA,NA
937,1,1,Male,4,3,White,1,New York,Mid-Atlantic,Northeast
938,1,1,Male,5,5,White,3,Texas,West South Central,South
939,1,1,Male,4,4,White,3,Washington,Pacific,West
940,1,1,Female,4,4,White,2,New York,Mid-Atlantic,Northeast
941,1,1,Female,3,1,White,2,Michigan,East North Central,Midwest
942,1,1,Male,5,3,White,3,South Carolina,South Atlantic,South
943,1,1,Male,4,3,White,2,Texas,West South Central,South
944,0,1,Male,5,3,White,1,Arizona,Mountain,West
945,1,1,Female,3,2,NA,2,Michigan,East North Central,Midwest
946,0,0,Female,2,2,Black,1,Georgia,South Atlantic,South
947,1,1,Female,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
948,1,1,Male,5,3,White,2,Illinois,East North Central,Midwest
949,0,1,Male,5,2,White,2,Texas,West South Central,South
950,1,1,Female,2,1,White,1,Michigan,East North Central,Midwest
951,1,1,Male,5,3,White,1,Arkansas,West South Central,South
952,1,1,Male,2,2,Black,2,Kansas,West North Central,Midwest
953,1,1,Female,4,4,White,3,Massachusetts,New England,Northeast
954,1,1,Female,4,4,White,3,Texas,West South Central,South
955,0,1,Female,3,1,Black,1,New York,Mid-Atlantic,Northeast
956,1,1,Male,4,4,White,3,Texas,West South Central,South
957,1,1,Female,3,2,Black,2,North Carolina,South Atlantic,South
958,1,1,Male,5,5,White,2,Utah,Mountain,West
959,1,1,Female,4,3,White,2,Texas,West South Central,South
960,1,1,Female,3,1,White,2,Michigan,East North Central,Midwest
961,1,1,Female,2,2,White,3,Ohio,East North Central,Midwest
962,1,1,Female,5,3,White,3,Oregon,Pacific,West
963,1,1,Male,5,2,White,1,Florida,South Atlantic,South
964,0,1,Female,3,2,Black,2,Maryland,South Atlantic,South
965,1,1,Female,4,1,White,2,Texas,West South Central,South
966,1,1,Male,4,1,White,2,Ohio,East North Central,Midwest
967,1,1,Female,3,5,White,2,Virginia,South Atlantic,South
968,1,1,Female,3,4,White,3,Michigan,East North Central,Midwest
969,1,1,Female,4,3,White,2,California,Pacific,West
970,1,1,Female,4,3,White,3,NA,NA,NA
971,0,1,Female,1,1,Black,2,Louisiana,West South Central,South
972,0,1,Female,3,5,Black,2,Maryland,South Atlantic,South
973,1,1,Female,2,2,Black,3,Ohio,East North Central,Midwest
974,1,0,Female,4,3,White,2,Minnesota,West North Central,Midwest
975,1,1,Female,2,2,Hispanic,1,Minnesota,West North Central,Midwest
976,1,0,Female,3,3,White,3,Mississippi,East South Central,South
977,0,1,Male,2,4,Other,2,Ohio,East North Central,Midwest
978,1,1,Female,2,5,Hispanic,2,Colorado,Mountain,West
979,1,1,Female,2,5,Other,2,Texas,West South Central,South
980,1,1,Female,3,4,Hispanic,2,Tennessee,East South Central,South
981,1,1,Female,4,1,Black,2,Texas,West South Central,South
982,1,1,Female,2,5,Hispanic,2,Texas,West South Central,South
983,1,1,Female,2,4,Black,2,Tennessee,East South Central,South
984,1,1,Female,4,4,Black,2,Ohio,East North Central,Midwest
985,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
986,1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
987,1,1,Female,3,3,White,1,Pennsylvania,Mid-Atlantic,Northeast
988,0,1,Female,3,5,Black,2,Maryland,South Atlantic,South
989,1,1,Female,2,4,Hispanic,2,Texas,West South Central,South
990,1,1,Male,4,5,Hispanic,2,Colorado,Mountain,West
991,1,1,Female,3,4,Hispanic,2,Florida,South Atlantic,South
992,1,1,Male,2,1,Other,1,California,Pacific,West
993,1,1,Female,2,2,Hispanic,2,Illinois,East North Central,Midwest
994,1,1,Female,5,2,Asian,3,Oregon,Pacific,West
995,1,1,Female,1,2,Hispanic,2,Utah,Mountain,West
996,0,1,Female,2,2,Black,2,Georgia,South Atlantic,South
997,0,1,Female,2,3,Black,1,California,Pacific,West
998,1,1,Female,4,4,White,3,Oklahoma,West South Central,South
999,1,1,Female,4,4,White,1,Michigan,East North Central,Midwest
1000,1,1,Female,1,1,Other,2,California,Pacific,West
1001,0,1,Female,4,2,Black,2,Georgia,South Atlantic,South
1002,1,1,Male,4,2,Black,1,Georgia,South Atlantic,South
1003,1,0,Female,5,1,White,2,Massachusetts,New England,Northeast
1004,1,1,Male,5,5,White,2,Texas,West South Central,South
1005,1,1,Male,4,1,Other,1,Florida,South Atlantic,South
1006,1,1,Female,4,2,Other,1,North Carolina,South Atlantic,South
1007,1,1,Female,4,3,White,2,South Carolina,South Atlantic,South
1008,1,1,Female,2,4,Asian,2,Virginia,South Atlantic,South
1009,1,1,Female,1,2,White,3,Virginia,South Atlantic,South
1010,1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
1011,1,1,Female,1,2,Asian,1,Illinois,East North Central,Midwest
1012,0,0,Male,4,2,Hispanic,1,Texas,West South Central,South
1013,1,1,Female,1,2,White,2,Massachusetts,New England,Northeast
1014,1,0,Female,1,2,White,2,Washington,Pacific,West
1015,0,1,Female,3,NA,Hispanic,2,New Mexico,Mountain,West
1016,1,1,Male,1,2,White,2,Wyoming,Mountain,West
1017,1,1,Female,2,3,White,2,Ohio,East North Central,Midwest
1018,1,1,Female,5,2,White,2,Michigan,East North Central,Midwest
1019,1,1,Male,4,4,White,2,New York,Mid-Atlantic,Northeast
1020,1,1,Male,2,2,White,3,California,Pacific,West
1021,1,1,Female,5,1,White,2,Missouri,West North Central,Midwest
1022,1,1,Female,1,2,White,2,Utah,Mountain,West
1023,0,1,Female,1,2,Hispanic,1,Utah,Mountain,West
1024,1,1,Female,3,5,NA,1,New Mexico,Mountain,West
